"id","nutrient_class","name","enabled","units","daily_nutrient","nutr_no","display_order","rdi_amount","calories_conversion_factor","default_goal_type"
191,"Macronutrients","Calories",True,"cal",NULL,"208",0,2000,1,"calories"
192,"Macronutrients","Protein",True,"grams (g)",True,"203",1,50,4,"dynamic_range"
194,"Macronutrients","Carbohydrates",True,"grams (g)",True,"205",2,300,4,"dynamic_range"
214,"Macronutrients","Fat",True,"grams (g)",True,"204",3,65,9,"dynamic_range"
196,"Macronutrients","Saturated Fat",True,"grams (g)",NULL,"606",4,20,9,"dynamic_maximum"
213,"Macronutrients","Cholesterol",True,"milligrams (mg)",NULL,"601",5,300,NULL,"maximum"
206,"Macronutrients","Fiber",True,"grams (g)",True,"291",6,25,1,"dynamic_minimum"
386,"Macronutrients","Added Sugars",True,"grams (g)",NULL,NULL,7,50,4,"dynamic_maximum"
220,"Macronutrients","Omega-3",True,"milligrams (mg)",NULL,NULL,8,NULL,NULL,"minimum"
208,"Vitamins","Vitamin A",True,"micrograms of retinol activity equivalents(mcg RAE)",NULL,"318",9,1500,NULL,"minimum_with_upper_limit"
200,"Vitamins","Vitamin B1",True,"milligrams (mg)",NULL,"404",10,1.5,NULL,"minimum"
201,"Vitamins","Vitamin B2",True,"milligrams (mg)",NULL,"405",11,1.7,NULL,"minimum"
384,"Macronutrients","Trans Fat",True,"grams (g)",NULL,NULL,23,NULL,NULL,NULL
202,"Vitamins","Vitamin B3",True,"milligrams (mg)",NULL,"406",12,20,NULL,"minimum_with_upper_limit"
210,"Vitamins","Pantothenic Acid",True,"milligrams (mg)",NULL,"410",13,10,NULL,"minimum"
207,"Vitamins","Vitamin B6",True,"milligrams (mg)",NULL,"415",14,2,NULL,"minimum_with_upper_limit"
209,"Vitamins","Folate",True,"micrograms (mcg)",NULL,"435",15,400,NULL,"minimum_with_upper_limit"
217,"Vitamins","Vitamin B12",True,"micrograms (mcg)",NULL,"418",16,6,NULL,"minimum"
215,"Vitamins","Vitamin C",True,"milligrams (mg)",NULL,"401",17,60,NULL,"minimum_with_upper_limit"
219,"Vitamins","Vitamin D",True,"International Units (IU)",NULL,"324",18,600,NULL,"minimum_with_upper_limit"
216,"Vitamins","Vitamin E",True,"milligrams (mg)",NULL,"323",19,20.1,NULL,"minimum_with_upper_limit"
218,"Vitamins","Vitamin K",True,"micrograms (mcg)",NULL,NULL,20,80,NULL,"minimum"
221,"Minerals","Calcium",True,"milligrams (mg)",NULL,"301",21,1000,NULL,"minimum_with_upper_limit"
205,"Minerals","Copper",True,"micrograms (mcg)",NULL,"312",22,2000,NULL,"minimum_with_upper_limit"
195,"Minerals","Iron",True,"milligrams (mg)",NULL,"303",24,18,NULL,"minimum_with_upper_limit"
203,"Minerals","Magnesium",True,"milligrams (mg)",NULL,"304",25,400,NULL,"minimum"
211,"Minerals","Manganese",True,"milligrams (mg)",NULL,"315",26,2,NULL,"minimum_with_upper_limit"
199,"Minerals","Phosphorus",True,"milligrams (mg)",NULL,"305",27,1000,NULL,"minimum_with_upper_limit"
197,"Minerals","Potassium",True,"milligrams(mg)",NULL,"306",28,3500,NULL,"minimum"
212,"Minerals","Selenium",True,"micrograms (mcg)",NULL,"317",29,70,NULL,"minimum_with_upper_limit"
385,"Macronutrients","Sugars",True,"grams (g)",NULL,NULL,30,NULL,NULL,NULL
193,"Minerals","Sodium",True,"milligrams (mg)",NULL,"307",31,2300,NULL,"maximum_with_invisible_lower_limit"
204,"Minerals","Zinc",True,"milligrams (mg)",NULL,"309",32,15,NULL,"minimum_with_upper_limit"
198,NULL,"Water",True,"milliliters(ml)",NULL,"255",33,NULL,NULL,NULL
